,Zip,City,County,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Change
27,78728,Austin,Travis County,1.8,0.3,5.8,4.7,1.5,0.7,-3.6,5.5,-2.8,3.3,8.4,2.6,-0.4,-1.0,-3.5,3.4,5.7,12.0,6.1,13.2,4.4,9.4,77.50000000000001
28,78703,Austin,Travis County,16.8,6.5,12.5,14.6,0.8,-12.8,-5.7,14.6,3.2,9.3,0.9,-5.8,-4.8,-0.3,-0.3,1.4,13.4,8.0,18.2,7.9,6.4,8.6,113.40000000000002
29,78634,Hutto,Williamson County,2.6,-1.0,1.0,-0.5,2.7,7.1,-4.8,-2.5,12.7,2.2,1.1,-4.2,-4.0,0.7,-3.0,2.6,10.9,6.8,6.9,7.4,8.9,4.6,58.2
30,78602,Bastrop,Bastrop County,11.2,6.5,7.9,6.8,6.4,5.9,0.2,0.7,3.4,0.0,0.9,-3.0,0.4,1.8,0.2,-0.6,5.1,7.2,10.2,8.5,12.8,15.6,108.1
31,78746,Austin,Travis County,-9.7,27.3,-11.8,6.5,-5.3,-3.7,0.0,10.4,4.5,-0.6,7.3,1.1,-2.8,-2.1,-1.5,3.7,11.7,5.4,5.9,10.5,4.7,8.5,70.0
32,78750,Austin,Travis County,-2.6,-1.5,-0.2,4.0,-0.1,-0.7,-2.4,3.3,2.4,6.4,2.5,-2.2,-1.3,1.6,-0.1,-1.0,8.7,5.8,12.8,6.7,4.4,6.2,52.70000000000001
33,78702,Austin,Travis County,48.0,24.1,22.1,32.8,-2.9,-10.2,12.7,-3.9,1.4,7.3,5.1,-0.9,0.1,-7.6,8.4,1.3,13.1,13.0,13.7,11.3,6.5,6.8,202.2
34,78757,Austin,Travis County,15.6,-1.2,26.0,19.8,-4.9,-7.4,1.3,-3.2,7.9,5.9,9.4,0.1,-0.9,-0.6,0.3,2.3,11.9,9.0,11.1,8.9,3.7,5.2,120.2
35,78734,Lakeway,Travis County,1.5,2.2,0.3,6.4,-2.6,1.7,-4.6,10.5,5.7,5.9,7.3,-7.2,-3.8,-0.8,-1.2,6.4,1.0,9.8,7.0,6.1,2.9,9.3,63.8
36,78738,Bee Cave,Travis County,4.3,4.9,4.2,2.5,-1.0,-3.9,4.8,14.8,5.5,5.9,5.6,-9.7,-7.2,-3.0,-0.6,5.8,6.1,4.4,1.3,1.0,1.2,10.0,56.89999999999999
