,Zip,City,County,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
24,78633,Georgetown,Williamson County,182125.0,185750.0,184347.22,186272.92,189165.0,190813.89,191876.19,195321.88,196940.74,200112.5,203540.15,206247.92,207508.33,208291.67,209279.44,209988.54,211386.76,214051.39,217566.67,221635.0,225686.11,230004.17
25,78705,Austin,Travis County,102716.67,112420.83,119877.78,126316.67,131173.33,135131.94,138328.57,140088.54,142299.07,144375.83,147397.73,150357.64,152356.41,153459.52,154054.44,155073.96,156463.24,158548.61,161294.74,165332.5,169250.79,173439.77
26,78626,Georgetown,Williamson County,133225.0,133229.17,134372.22,136172.92,137913.33,139758.33,140807.14,140772.92,141838.89,142806.67,143930.3,145069.44,145730.13,145980.95,146210.56,146435.42,146811.27,148042.59,149907.89,152535.83,155823.02,159603.79
27,78728,Austin,Travis County,136916.67,137716.67,139272.22,142218.75,144785.0,146769.44,147861.9,148911.46,149808.33,150557.5,151984.85,154170.14,155995.51,157524.4,158528.89,159298.44,160558.82,162444.44,165320.61,168873.75,173048.02,177605.68
28,78703,Austin,Travis County,324308.33,348695.83,362855.56,387229.17,408598.33,416695.83,412877.38,417559.38,422996.3,430299.17,438717.42,444818.06,447139.1,448716.07,449850.0,451182.81,454168.63,460047.69,469581.14,482262.5,495871.03,510157.95
29,78634,Hutto,Williamson County,134600.0,134633.33,134800.0,134666.67,134896.67,136631.94,137808.33,138044.79,139310.19,140952.5,142593.18,143811.11,144261.54,144597.02,144710.0,144751.56,145346.08,146727.31,148539.04,150869.58,153701.98,156907.2
30,78602,Bastrop,Bastrop County,83400.0,87250.0,90500.0,94002.08,97445.0,100870.83,103848.81,106081.25,108104.63,110095.83,111426.52,112677.08,113374.36,114305.95,115163.33,115852.6,116555.39,117725.46,119269.74,121642.5,124553.57,128186.74
31,78746,Austin,Travis County,476683.33,505929.17,516897.22,521375.0,525015.0,522194.44,519830.95,519403.12,524873.15,530480.0,535952.27,542676.39,549064.74,552397.02,554360.56,556767.19,561798.04,569350.46,577975.0,588975.42,601979.76,616049.62
32,78750,Austin,Travis County,251091.67,252350.0,249008.33,249918.75,251503.33,252094.44,252158.33,252170.83,252805.56,254917.5,257504.55,259758.33,261122.44,262426.79,263381.11,264496.35,265999.51,268575.46,272515.35,277439.17,282987.3,288999.62
33,78702,Austin,Travis County,87983.33,107500.0,118313.89,137437.5,153175.0,159776.39,165860.71,169990.62,174006.48,177623.33,182125.76,186090.28,189350.0,191561.9,193546.11,195803.12,198797.55,203351.39,209385.96,216793.33,224923.81,233764.02
34,78757,Austin,Travis County,149691.67,161679.17,166311.11,184018.75,195261.67,200400.0,202438.1,203930.21,205824.07,208989.17,213301.52,217831.25,221374.36,224386.9,226716.11,229214.06,232507.35,237074.54,242887.28,249822.08,257233.33,264887.88
35,78734,Lakeway,Travis County,232950.0,234787.5,236027.78,239022.92,241683.33,243051.39,243809.52,244988.54,248367.59,252416.67,257877.27,261879.17,264116.03,265675.0,266543.33,267889.06,269976.47,272285.65,276287.72,280723.75,285479.76,290960.61
